name,brand,link,rating,votes,genre
Oud  Eau de Parfum,Acqua di Parma,https://www.parfumo.com/Perfumes/Acqua_di_Parma/oud-eau-de-parfum,8.2,1062,Men
L'Homme L'Eau,Prada,https://www.parfumo.com/Perfumes/Prada/L_Homme_L_Eau,8.2,1044,Men
Emporio Armani - Stronger With You,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/Emporio_Armani_Stronger_With_You,7.5,1956,Men
Vendetta,Marc Gebauer,https://www.parfumo.com/Perfumes/marc-gebauer/vendetta,8.3,961,Men
Grey Vetiver  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Grey_Vetiver,7.9,1314,Men
Amyris Homme  Eau de Toilette,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Amyris_homme,8.0,1210,Men
CH Men Privé,Carolina Herrera,https://www.parfumo.com/Perfumes/Carolina_Herrera/CH_Men_Prive,8.2,1037,Men
Allure Homme  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme,8.0,1176,Men
Acqua di Giò Profondo (2020)  Eau de Parfum,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/acqua-di-gio-profondo-2020-eau-de-parfum,7.6,1636,Men
The Most Wanted  Eau de Parfum Intense,Azzaro,https://www.parfumo.com/Perfumes/Azzaro/the-most-wanted-eau-de-parfum-intense,8.0,1191,Men
Habit Rouge  Eau de Toilette,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Habit_Rouge,8.0,1221,Men
La Yuqawam pour Homme,Rasasi,https://www.parfumo.com/Perfumes/Rasasi/La_Yuqawam_pour_Homme,8.0,1162,Men
Pi  Eau de Toilette,Givenchy,https://www.parfumo.com/Perfumes/Givenchy/Pi_Eau_de_Toilette,7.9,1294,Men
Memoir Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Memoir_Man,8.0,1141,Men
Vetiver  Eau de Toilette,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Vetiver,7.8,1319,Men
Enigma pour Homme  Eau de Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/enigma-pour-homme-creation-e-pour-homme-eau-de-parfum,8.3,876,Men
Perseus,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/perseus,7.7,1546,Men
Armani Code (2004)  Eau de Toilette,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/Armani_Code_Black_Code_Eau_de_Toilette,7.6,1644,Men
Lumière Noire Homme,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/lumiere-noire-homme,8.3,914,Men
Colonia  Eau de Cologne,Acqua di Parma,https://www.parfumo.com/Perfumes/Acqua_di_Parma/Colonia_Eau_de_Cologne,7.9,1196,Men
Noir Extreme Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/noir-extreme-parfum,8.4,843,Men
1 Million  Eau de Toilette,Rabanne,https://www.parfumo.com/Perfumes/Rabanne/1_Million_Eau_de_Toilette,6.8,3471,Men
L'Instant de Guerlain pour Homme  Eau de Toilette,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/L_Instant_de_Guerlain_pour_Homme_Eau_de_Toilette,8.2,935,Men
This Is Him!,Zadig & Voltaire,https://www.parfumo.com/Perfumes/Zadig__Voltaire/This_is_Him,7.7,1385,Men
London for Men  Eau de Toilette,Burberry,https://www.parfumo.com/Perfumes/Burberry/London_for_Men_Eau_de_Toilette,7.9,1237,Men
Beach Hut Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Beach_Hut_Man,7.9,1191,Men
A*Men Pure Malt,Mugler,https://www.parfumo.com/Perfumes/mugler/AMen_Pure_Malt,8.2,956,Men
Amber pour Homme  Eau de Toilette,Prada,https://www.parfumo.com/Perfumes/Prada/Amber_pour_Homme_Eau_de_Toilette,7.9,1196,Men
Artisan Pure,John Varvatos,https://www.parfumo.com/Perfumes/John_Varvatos/Artisan_Pure,7.8,1305,Men
Joop! Homme  Eau de Toilette,Joop!,https://www.parfumo.com/Perfumes/Joop/Joop_Homme_Eau_de_Toilette,6.8,3472,Men
Light Blue pour Homme Forever,Dolce & Gabbana,https://www.parfumo.com/Perfumes/Dolce_Gabbana/light-blue-pour-homme-forever,8.1,1032,Men
Art of Arabia I,Lattafa Pride,https://www.parfumo.com/Perfumes/lattafa-pride/art-of-arabia-i,8.2,922,Men
Black Gemstone,Stéphane Humbert Lucas,https://www.parfumo.com/Perfumes/Stephane_Humbert_Lucas/Black_Gemstone,8.2,877,Men
Sunrise on the Red Sand Dunes Intense,Zara,https://www.parfumo.com/Perfumes/Zara/sunrise-on-the-red-sand-dunes-intense,8.3,795,Men
Rich/Warm/Addictive  Eau de Toilette,Zara,https://www.parfumo.com/Perfumes/Zara/rich-warm-addictive-eau-de-toilette,7.8,1267,Men
Nio,Xerjoff,https://www.parfumo.com/Perfumes/Xerjoff/nio,8.1,981,Men
Interlude 53,Amouage,https://www.parfumo.com/Perfumes/Amouage/interlude-53,8.4,722,Men
Myslf  Eau de Parfum,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/myslf-eau-de-parfum,7.4,1740,Men
Fahrenheit Parfum,Dior,https://www.parfumo.com/Perfumes/Dior/Fahrenheit_Parfum,8.1,954,Men
Aqva Amara  Eau de Toilette,Bvlgari,https://www.parfumo.com/Perfumes/Bvlgari/aqva-amara-eau-de-toilette,7.8,1211,Men
